cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
295,0000000000,1590,3003,1091,230373,497724,219466,518473,223669,768757,220571,579960,0,1
296,0000000000,1480,3008,1667,304380,670720,302676,693296,313439,724450,305490,700378,0,1
297,0000000000,1515,3015,1102,190319,442044,189652,447674,189696,483519,190925,465307,0,1
298,0100212201,625,3004,609,156642,254615,107711,242927,351339,307575,119304,290512,10,1
299,0100212001,655,3010,564,140107,285491,100568,239661,436751,246329,117999,270615,0,1
300,0000000000,2215,3016,805,125826,270320,117518,271424,117139,271654,115058,264601,0,1
301,0000000000,607,3014,374,84062,175620,62106,145791,88198,176506,64026,316853,0,1
302,0100212221,661,3034,914,236660,463194,174417,405566,1403723,420610,235963,454024,4,1
303,0000000000,1316,3031,1520,299661,691808,299163,701211,301067,699103,302866,697804,0,1
304,0100211221,603,3036,811,178325,427006,145462,333312,197835,367999,157369,2294862,0,1
305,0000000000,1642,3036,1265,287139,646060,277163,646908,274847,957714,275021,738610,0,1
306,0000000000,631,3029,627,165218,279006,109329,259361,241946,274684,117037,320167,0,1
307,0000000000,576,3037,689,111612,281260,106424,246579,140530,262543,112900,321680,0,1
308,0000000000,629,3048,284,80705,132454,53472,121382,104502,138234,58816,199775,0,1
309,0000000000,2218,3064,1012,160961,354690,155052,374062,153663,367942,149975,348100,0,1
310,0000000000,599,3068,515,131431,265424,97321,221057,249779,244947,115356,954381,0,1
311,0100011000,580,3070,864,174072,365168,147551,354288,497105,460854,175797,641665,19,1
312,0100212221,649,3070,717,187044,317155,131526,303967,208988,322716,143428,344158,4,1
313,0100212221,625,3071,720,182760,374089,128049,293104,173465,313316,152096,510205,4,1
314,0000000000,1683,3084,1214,261852,593522,263415,615197,260601,635235,259326,631998,0,1
315,0000000000,2207,3095,1116,229382,524835,222593,523677,220253,530369,217313,511341,0,1
316,0100211001,612,3100,846,196218,410955,166557,347620,239989,454151,162834,807369,0,1
317,0100212221,638,3106,833,184032,372119,149952,339497,673447,404604,178279,532313,4,1
318,0000000000,1663,3110,772,159413,360385,156070,366514,155507,395602,157323,368887,0,1
319,0000000000,586,3119,1080,190123,410373,181153,412352,193840,436282,180151,717302,0,1
320,0000000000,1564,3151,1698,361864,788727,355206,806563,355698,834410,356897,1340325,0,1
321,0000000000,656,3138,820,177868,393917,164927,376988,224220,390501,168262,750514,0,1
322,0000000000,627,3136,468,107383,219687,194296,210987,233570,230193,106054,1137035,0,1
323,0000000000,1592,3148,1009,213163,497233,213130,498816,212268,519129,213718,674170,0,1
324,2122011221,611,3146,795,164737,371191,425176,364525,176160,358636,150205,1027773,0,1
325,0000000000,645,3164,877,173441,483355,175475,390063,192096,395313,169291,3295488,0,1
326,0000000000,615,3189,848,130932,293345,132379,289800,133923,301114,132733,698661,0,1
327,0000000000,656,3189,554,112123,335626,108247,249375,119540,259022,108890,5832731,0,1
328,0100212221,642,3208,1016,208576,570813,194175,452883,213188,460961,198078,4035171,4,1
329,0000000000,675,3222,1213,258260,742996,233507,535876,263639,580017,235634,5800447,0,1
330,0000000000,699,3243,732,156075,433160,149979,339779,176273,349016,157983,3520572,0,1
331,0120212211,713,3267,973,221740,565558,196969,452193,217288,455003,208869,4015518,0,1
332,0000000000,2086,3282,1843,417611,948379,636222,954847,419433,956051,412475,936149,0,1
333,1100001001,2153,3290,1493,280198,716288,946794,629265,300875,666421,261874,633169,0,1
334,1111111121,770,3295,1725,329433,862446,321710,771305,365229,766771,331645,2628821,6,1
335,0000000000,1828,3296,1215,281455,603634,228697,535919,257037,620256,231072,551344,0,1
336,1112011001,2116,3302,1524,311156,759194,1161728,717939,343564,745627,300755,701137,1,1
337,0000000000,1262,3301,1131,241455,529191,240581,548836,239061,543294,236615,548131,0,1
338,0000000000,1790,3306,1389,410680,591594,255561,585883,310517,616288,254895,753300,0,1
339,0000000000,1296,3308,1057,247979,523236,218629,490464,220829,492833,212494,512597,0,1
340,2120012000,1713,3321,800,184803,399126,251427,387635,248698,391799,174893,437478,0,1
341,1200112021,1331,3338,1799,577314,1317055,395386,893711,410570,961850,359944,1051552,0,1
342,2120112200,1736,3333,1184,265264,572393,388761,572621,553085,586724,264651,622582,0,1
343,0112211201,1190,3335,1441,312456,1036684,785432,707320,328217,709955,303749,1376592,0,1
344,2120211111,960,3336,1485,310952,864818,293040,662584,311611,742402,291988,1912899,0,1
345,0000000000,1767,3342,1249,288612,547766,238476,544576,290083,701424,238841,965502,0,1
346,0000000000,1290,3341,841,245639,455196,186871,416674,193464,460671,176229,640293,0,1
347,1112011001,1821,3345,712,194434,326077,139520,317827,156823,452182,142640,336015,1,1
348,1100001000,1843,3343,973,281812,449749,183714,441861,215581,614966,186872,442461,14,1
349,0020121000,1259,3341,1035,223338,530052,224151,489155,252382,640830,208629,2542611,0,1
350,0000000000,1799,3349,1041,247645,481324,202388,477915,232756,500747,204563,1473107,0,1
351,2222211201,1227,3343,758,164349,475641,174987,379878,181048,387596,157501,2240530,0,1
352,0102001200,1381,3359,1205,268801,593351,453702,752454,273846,590457,258782,599697,0,1
353,0000000000,2125,3357,886,168174,350565,204010,334394,157756,341305,135773,333597,0,1
354,0000000000,2148,3359,767,94452,204693,99221,202598,91687,202664,90275,199068,0,1
355,0202211100,1067,3353,989,217047,530760,435051,494469,233755,516276,211574,550124,0,1
356,1112011001,2097,3361,1107,226039,526500,974716,531424,267826,533813,219521,498547,1,1
