cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_ID,rowsum
122,1111111111,465,714,521,176476,120538,1070501,110133,583285,153173,208117,96290,3,1
123,1111111112,505,718,824,298385,200730,2218988,175782,1098132,237152,346388,159181,0,1
124,0000000000,441,718,593,207141,142579,1102029,119021,673275,206688,239807,112012,0,1
125,1122111011,1247,729,795,490808,171067,1976030,177084,836770,187677,335907,167684,0,1
126,1111111102,539,726,572,225539,121188,1522822,118001,804737,135648,238022,116604,0,1
127,0000000000,573,736,850,312381,174038,438543,178691,465044,179215,324563,168786,0,1
128,1111111111,478,734,711,259816,179192,2495910,145832,974081,187326,306923,135413,3,1
129,2110212021,1285,737,857,846142,244854,310420,187020,1122542,205597,360608,174630,2,1
130,2110212021,1311,746,1066,650814,254352,347040,230496,1071500,233487,382510,207839,2,1
131,0000000000,524,736,106,37653,33982,244458,21124,125132,22862,43693,19973,0,1
132,0000000000,446,741,462,131120,93839,655392,82389,331394,97998,147372,79541,0,1
133,0000000000,1215,752,909,402020,193688,370240,199375,447749,2e+05,353496,192002,0,1
134,1111111000,509,746,595,228664,141432,2009427,119297,949572,144402,249793,116124,9,1
135,1111112111,540,750,496,186528,104584,1270509,104780,623331,124387,206489,101559,0,1
136,1111111110,491,760,498,171867,118102,1136341,102200,829265,123049,209332,93802,10,1
137,1111111100,454,765,1386,471560,313456,1972338,273172,1379975,363912,538379,264674,5,1
138,2100211021,1244,768,661,481223,154847,244102,150702,660682,149933,263582,138791,0,1
139,0000000000,530,766,402,144413,87131,964494,86954,462952,112894,162613,87012,0,1
140,2110212021,1266,778,739,498978,171559,253810,161485,880590,204644,293102,156871,2,1
141,1111111111,509,781,912,436735,201614,3452580,192643,1138590,283800,375168,180209,3,1
142,0000000000,422,778,530,169543,119091,824457,102421,577492,113973,204247,97941,0,1
143,0000000000,477,789,746,283805,148751,1761156,146624,898598,231981,299226,146088,0,1
144,0000000000,458,792,97,33130,20200,242047,20615,131235,22237,41646,18533,0,1
145,0000000000,1210,801,640,200676,122248,187094,119893,301597,125233,197551,121380,0,1
146,0000000000,446,800,379,151524,80505,829249,73872,425291,83963,141322,73065,0,1
147,1111001000,424,805,688,235947,136005,1395250,136785,727334,152515,261694,128813,0,1
148,0000000000,540,815,1728,690786,359665,5289548,385176,2068638,477888,728257,549511,0,1
149,0000000000,508,810,363,155499,77193,1116543,79764,543143,116558,155620,76398,0,1
150,1111111010,466,815,613,203261,127691,1565275,123264,738766,169340,241018,122806,0,1
151,0000000000,1183,822,913,315374,174511,295771,183690,445997,189505,326574,183927,0,1
152,1100011011,576,826,920,461776,200745,2624456,201729,793920,249713,390983,227128,0,1
153,1111111100,495,829,771,307591,153261,2280282,163106,917267,215851,321902,168239,5,1
154,0000000000,441,828,547,182415,116517,693856,112177,555815,155315,191804,106701,0,1
155,0000000000,456,828,70,23221,16327,144689,15519,105348,24082,31511,14654,0,1
156,1111112131,467,844,718,262463,144388,1343375,144923,801724,156521,304077,143474,0,1
157,0111111111,517,853,726,276049,152828,319444,157477,764703,159213,292304,1181061,8,1
158,0111012111,561,856,1015,394672,246567,403931,219380,1309600,232439,431115,1573310,0,1
159,0000000000,438,856,668,203187,131210,223454,127218,344671,131188,221838,124374,0,1
160,0000000000,606,863,891,457787,186977,330081,193564,999760,187927,482561,207135,0,1
161,0000000000,272,888,1166,259003,203826,252035,192415,460482,199181,275920,190879,0,1
162,0000000000,1129,881,924,267164,214932,265630,180625,429244,180307,294453,179326,0,1
163,0000000000,967,881,704,260976,143340,263431,153302,301905,146535,280634,151461,0,1
164,0111111111,549,885,797,273313,153115,267207,158135,684884,167492,300718,865023,8,1
165,0000000000,1073,890,768,206918,142919,218339,141007,315519,146335,226781,146129,0,1
166,0000000000,653,897,974,389805,204092,363389,205224,566862,211093,400803,201089,0,1
167,0000000000,607,898,561,477099,136172,228400,123972,539773,139558,259358,120879,0,1
168,0000000000,827,898,715,281500,145994,273374,147581,300985,151424,280123,150318,0,1
169,2112212200,588,922,1313,786096,342170,427093,273966,1318228,279562,503601,254437,0,1
170,2110212021,1452,925,562,295345,111866,171239,117562,594662,128757,210602,104593,2,1
