,cell_id,barcode,ypos,xpos,cell_size,ChAT,Fru,Gad1,SerT,sNPF,Tbh,TH,VGlut,clone_id,clust_label,umap_1,umap_2
2011,2012,22211201,2586,1348,514,20099,50425,0,0,814374,4376,0,0,2,4,-6.2437053,2.0067115
2012,2013,2110111111,2841,1350,572,13444,0,0,0,188481,2896,0,171861,22,2,6.993311,-1.7432175
2017,2018,122212201,1494,1354,672,25063,0,1841,0,81425,3047,0,32408,9,1,4.5086503,0.008983218
2023,2024,22211201,2493,1356,899,38868,88978,0,0,1138522,0,0,0,2,4,-5.586289,2.161818
2034,2035,2001212001,1643,1359,737,217307,24300,51,0,269913,5245,0,30870,17,0,3.4602044,6.8887105
2035,2036,2001212001,1736,1356,599,103754,8985,62187,0,244316,73,0,939,17,0,3.3215034,4.336542
2058,2059,22211201,2569,1366,715,41644,99522,0,0,1228669,0,0,0,2,4,-7.383321,2.1856296
2066,2067,22211201,2652,1368,698,40827,32407,5444,0,1229302,0,0,13537,2,4,-4.8610826,2.134034
2080,2081,22211201,2602,1376,763,73063,101648,0,0,1483362,0,152,724,2,4,-7.6612883,2.2583365
2081,2082,2110111111,2805,1382,1007,9147,3935,0,0,370239,0,0,1839690,22,2,8.583441,-3.5556436
2084,2085,22211201,2441,1380,809,97656,72542,0,1,1366546,15,0,0,2,4,-6.258602,2.522477
2100,2101,2001212001,1764,1377,478,33588,1892,216766,0,102227,0,0,0,17,1,3.6764572,-0.22692344
2109,2110,2001212001,1689,1384,696,294029,121139,0,0,325421,45,0,370,17,-1,2.3052645,7.8140693
2115,2116,22211201,2539,1382,610,16543,24922,0,0,901075,0,0,0,2,4,-4.108793,2.0003786
2116,2117,22211201,2630,1384,607,14585,44585,0,0,926507,0,0,0,2,4,-5.1657577,2.1007712
2134,2135,22211201,2574,1390,698,102602,118913,0,0,1366440,0,0,0,2,4,-8.378487,2.272877
2142,2143,22211201,2485,1401,962,73709,48812,0,0,1867788,0,1,0,2,4,-5.6205907,2.157684
2146,2147,2001212001,1740,1392,378,20562,0,169452,0,104669,0,0,0,17,1,3.6694386,-0.29625443
2159,2160,2001212001,1606,1403,784,186885,225005,0,0,333165,3,0,40964,17,4,-8.473065,2.4093628
2180,2181,22211201,2525,1404,677,36234,76281,0,0,1224379,0,0,0,2,4,-7.100655,2.1430962
2181,2182,22211201,2558,1410,837,63575,78192,0,0,1385199,0,0,2325,2,4,-6.2254663,2.1515126
2198,2199,2001212001,1704,1411,880,389387,108733,0,0,420619,31,0,23,17,-1,2.4643707,7.8494487
2237,2238,22211201,2539,1420,132,4159,7748,0,0,146285,28,0,0,2,4,-3.7248573,1.9789021
2242,2243,120001000,1740,1425,527,196009,95,215907,0,270061,10245,0,0,5,0,3.0691056,7.5975637
2249,2250,22211201,2521,1424,265,36244,48613,0,0,463022,0,0,0,2,4,-8.338017,2.2715995
2262,2263,2001212001,1617,1436,759,96065,14,0,0,319142,2009,0,0,17,0,3.086851,3.1388485
2268,2269,22211201,2419,1435,392,2576,9572,0,0,197186,0,0,0,2,4,-0.06625488,0.6566779
2269,2270,22211201,2483,1431,253,34716,41371,0,0,497847,0,0,0,2,4,-8.279938,2.1871526
2273,2274,22211201,2509,1439,598,36305,66692,0,0,1098305,0,0,0,2,4,-7.0783405,2.1591043
2280,2281,120001000,1784,1439,685,63404,0,489233,0,319533,18257,0,263,5,1,2.8175638,1.7006954
2303,2304,120001000,1748,1441,324,127651,65,187010,0,175092,1882,0,5,5,0,3.1091359,7.6892667
2304,2305,22211201,2491,1446,323,52772,52288,0,0,614418,0,0,0,2,4,-8.394753,2.2871816
2309,2310,2001212001,1642,1452,756,118366,6882,0,0,1141430,767,0,0,17,4,-2.6996007,2.6493697
2319,2320,22211201,2447,1458,836,67625,127390,0,0,1566317,62,0,41,2,4,-7.720853,2.2571688
2331,2332,22211201,2472,1458,535,21220,53692,0,0,1353896,0,0,0,2,4,-7.496021,2.0998945
2334,2335,22211201,2529,1456,307,7093,9025,0,10,368052,0,0,2787,2,4,-2.7935107,1.4865732
2342,2343,2001212001,1672,1460,658,195858,10074,0,0,342020,0,66,0,17,0,3.506241,6.9685264
2350,2351,22211201,2425,1463,354,24097,12415,0,76,376271,132,0,84,2,4,-2.0012848,1.8623583
2365,2366,2212211101,2704,1473,791,46895,1667,1003,0,191793,0,0,110426,27,1,5.176619,-0.23943585
2370,2371,22211201,2491,1464,221,4128,31407,0,0,549747,8,0,0,2,4,-7.8112555,2.087865
2395,2396,2001212001,1627,1480,534,176035,75321,0,86,189404,113,0,212,17,-1,2.2805586,7.751912
2402,2403,22211201,2416,1486,718,44232,43618,0,0,1222473,34,0,0,2,4,-5.3508677,2.155116
2406,2407,2001212001,1647,1481,414,153797,10546,44,0,170989,0,0,0,17,0,3.1024897,7.857156
2409,2410,22211201,2501,1476,234,47134,46038,0,0,328043,0,0,865,2,4,-8.4846,2.384623
2410,2411,2212211101,2735,1486,692,70108,2644,79,0,208012,0,0,0,27,3,3.513966,2.273934
2411,2412,120001000,1728,1478,282,91279,0,0,0,135143,67,0,0,5,0,3.3976085,7.492993
2417,2418,2001212001,1677,1485,631,286028,8501,59,0,623771,0,79,0,17,0,2.8896158,8.02718
2418,2419,22211201,2470,1485,715,135363,13328,0,63,846184,978,0,21,2,0,1.1142193,3.1215396
2426,2427,22211201,2441,1493,814,37085,53400,0,0,1055902,0,0,0,2,4,-4.2539306,2.1150281
2434,2435,120001000,1760,1491,520,102405,6017,7344,0,268563,0,0,0,5,0,3.12562,4.5856013
2456,2457,22211201,2495,1494,491,26007,25524,0,0,729220,0,0,7591,2,4,-4.2271376,2.0896773
2462,2463,120001000,1705,1498,513,180624,95,0,41,348732,84,0,92,5,0,3.2099948,7.7100544
2473,2474,22211201,2399,1503,386,8015,881,0,0,134204,0,0,0,2,1,2.78155,0.27024907
2497,2498,22211201,2480,1513,678,42070,87340,0,0,646039,0,0,0,2,4,-5.894523,2.1546829
2498,2499,1101111121,2647,1513,674,13908,8062,0,0,544390,111,0,17005,11,4,-0.36077082,0.49674174
2516,2517,22211201,2387,1520,410,42,150,0,0,108966,0,0,0,2,1,2.9974084,-0.0015656855
2534,2535,120001000,1782,1524,774,130372,459,0,96,400335,1665,0,0,5,0,3.3834383,4.3649755
