cell_id	Barcode	ChAT	fru	Gad1	SerT	sNPF	tbh	Ple	VGlut	x	y	umap_1	umap_2	clust_label
407	122212201	7112	4913	2293234	144	437791	2092	840	3220	620.5	1077.1	-8.920437	-4.2933116	8
409	122011221	19197	1382	0	3077	394929	17	0	838	618.89	1530.5	-1.2247652	7.062159	10
410	1111111101	100472	28	0	42	105497	4397	0	4447	620.93	20.826	0.4648647	3.9155061	4
412	122011221	28820	2547	82	190	695644	968	0	50610	626.69	1362.7	1.1688693	7.4765096	12
414	122011221	13164	138	59	251	563768	719	149	27168	623.65	1419.9	-0.10221898	7.500082	10
422	1110001000	167178	74	14154	341	409552	9248	69	97	630.41	959.89	3.9665291	3.4687378	4
423	122011221	21780	3333	0	79	637291	236	2422	459	626.43	1496.9	0.93457085	7.2025614	12
426	122011221	68696	16864	152	448	1451534	669	65	38981	642.82	1451.3	4.515692	-1.735283	9
430	112212201	2720	945	1198044	45	297642	379	198	160	634.49	1054.8	-8.291899	-2.7288585	8
431	122011221	7236	2709	0	0	310765	45	14158	1178	633.56	1474.2	-1.5993106	6.871276	10
432	122011221	55235	860	0	261	569767	875	0	288	635.78	1517.8	0.96440995	6.4053717	12
434	2010011221	204917	4	78	78	141317	121	0	357	641.93	87.711	4.999404	3.7573004	4
435	1111111000	28310	229	56	89	165373	9632	0	44255	639.39	1213.1	-1.7905737	4.230495	3
438	1111101000	110657	760	0	42	139860	11014	0	62	644.73	24.144000000000002	1.0991076	3.4439354	4
439	122011221	58461	1057	11	1	725749	288	0	5929	643.33	1379.7	1.6238221	6.8411922	12
442	122011221	53017	5482	36	87	1090817	986	526	11725	646.71	1411.4	2.7990894	-0.55757046	13
444	122212201	8015	4395	2984748	275	576945	2711	3613	4694	650.82	1074.3	-8.90986	-4.7115164	8
446	122011221	74956	45223	106	402	546341	360	3	26343	650.96	1544.1	2.8040056	-0.7154945	13
447	122212201	4489	4656	2161777	419	372827	611	755	485	652.45	1035.7	-8.981428	-4.244978	8
449	122011221	33255	601	0	144	788620	526	21	316	649.45	1492.6	1.6646405	7.436932	12
451	122212201	11256	1042	2551731	2162	527670	8154	2033	606	657.43	1002.9	-8.889137	-4.5800223	8
453	122011221	17700	559	112	51	470955	192	0	32959	654.75	1355.7	-0.7024061	7.322147	10
456	122011221	8351	4562	2411	85	191820	162	541	181626	652.0	1151.1	-4.1969786	2.9066296	2
460	122011221	32478	4730	0	3	256268	261	0	173	654.91	1513.4	-1.3767742	6.566348	10
463	122011221	9511	9869	0	184	511741	438	491	68464	660.53	1618.1	0.1659539	7.4984217	10
464	122011221	110725	19101	0	198	584227	1832	0	20254	669.38	1557.6	2.301664	6.002744	-1
467	122011221	37704	1951	363	60	795711	725	0	4133	665.08	1387.7	1.8023465	7.4470644	12
469	122011221	63509	32972	380	148	672399	1178	351	1169	669.08	1529.2	2.840132	-0.69261307	13
476	1132021111	76390	1631	2281	69	269294	770	2834	899	675.05	901.95	-0.47234413	4.832563	7
478	122011221	70953	5472	57	932	737996	466	448391	68923	677.36	1337.9	-0.054493893	6.587151	11
479	122011221	59859	1598	96	52	426474	229	2343	448	673.35	1503.0	0.24998243	5.7053723	7
480	1112211121	125761	5184	2580	625	375255	542	73546	26153	673.27	869.28	2.0710785	4.6149845	4
481	122212201	3894	1409	821648	70	227979	145	151	15616	671.08	1088.9	-8.251839	-2.3190346	8
487	122011221	60616	15977	355	465	689891	273	6276	53432	679.06	1364.3	2.0428123	7.528677	12
488	122011221	41686	432	0	26	743832	401	0	33790	678.57	1423.9	1.3361704	7.4070477	12
489	122212201	8268	235	2053099	103	323007	521	288	110	675.99	978.19	-8.970458	-4.065384	8
490	122011221	11965	802	0	0	227575	16	0	26	671.91	1405.8	-2.6188588	5.7180095	1
493	122212201	7679	8389	3778045	390	886363	967	678	568	681.76	1030.2	-8.933642	-4.739119	8
495	122011221	74950	72322	188	624	1184768	960	38096	78538	684.91	1299.8	5.3667316	-2.224808	9
496	122011221	48343	102	0	136	911835	676	0	36639	680.73	1454.5	2.0222244	7.5638704	12
498	122212201	5028	179	1977592	255	414634	3896	1658	10678	682.93	1079.4	-9.005749	-4.0568314	8
500	122212201	5270	264	2742030	319	530116	1490	1175	338	686.46	997.12	-8.91126	-4.687412	8
502	122011221	37180	8620	0	187	474388	564	0	988	688.04	1570.7	0.83191884	6.676018	12
505	122011221	16671	53481	0	8	892351	721	1579	24870	687.01	1618.7	3.8075805	-1.6431394	13
506	122212201	4767	654	1478601	169	314765	8388	200	866	692.39	1058.9	-8.705741	-3.5416963	8
507	122011221	84585	55008	22	172	1040405	2260	45	17591	691.38	1593.6	4.8391547	-1.6412191	9
508	122011221	33330	56172	36	154	696451	98	1037	1214	692.77	1378.5	3.4793506	-1.3786024	13
510	112211211	389345	8425	1034	638	1531664	1163	324054	114477	696.66	851.44	4.924561	0.0016439204	14
511	122011221	5615	393	186	40	427605	213	1178	3433	693.43	1403.8	-1.161218	7.256364	10
512	122011221	46067	4550	124	3411	713609	1413	96	235	695.24	1484.2	1.6076723	7.109299	12
513	122011221	78457	633	0	149575	330004	337	54565	7974	694.42	1514.6	-0.9780322	5.540063	10
514	122212201	27661	238	3433516	704	712135	597	1860	2411	701.94	966.99	-8.929817	-4.713924	8
516	122011221	38092	37888	120	13122	608484	637	224	1438	700.78	1536.3	2.8301845	-0.7613428	13
517	100212101	102896	1076	10504	1143	375859	8180	22082	56473	702.33	914.59	1.9835016	3.3717601	4
518	1101001000	32372	5063	0	0	118322	2864	0	1110	704.12	36.479	-2.2145085	5.1739907	1
519	122212201	45040	14	651828	187	223864	599	197	41699	701.64	1073.7	-8.031667	-1.7647537	8
520	122011221	54048	37585	2	292	734604	298	32	583	705.72	1557.6	3.0246685	-0.9271695	13
521	1112202322	152338	1245	67211	212	688926	7975	117	46522	711.52	1120.0	3.2715049	2.718084	4
526	2120212020	25655	2897	3666	947	787263	1599	3573117	5684	712.88	1338.0	-0.23076251	6.4318767	11
527	122011221	19074	2773	26	87	889598	470	1952	505	712.94	1450.9	1.9482487	7.665112	12
529	122212201	24813	1203	3007533	286	712722	1419	492	2241	714.86	1035.1	-8.932727	-4.698055	8
530	122011221	15236	69281	0	188	1374672	167	101	33822	709.28	1614.5	5.57669	-2.3553646	9
531	100212101	167341	444	1296	1268	652318	6793	3813	29658	713.54	826.0	3.4234936	2.8858266	4
532	122212201	1342	13	1008153	27	189785	281	272	265	706.84	1012.3	-8.249109	-2.4553857	8
534	122011221	9518	2821	0	112	510092	203	7252	66	708.99	1388.9	-0.27321148	7.4314117	10
536	122011221	47720	77121	0	83	813316	1139	71	815	711.29	1581.3	4.8657484	-1.8770299	9
538	2120211020	79090	100	141690	336	235285	1159	165	291253	711.65	1089.1	-3.5962164	2.758164	2
